PUBLIC	STATE	NAME	PROVIDER_NO	STREET_ADDRESS	SUBURB	POSTCODE																																												
PRIVATE	QLD	LEVANT GOLD COAST DAY HOSPITAL	0056280A	"LEVEL 2, 127 QUEEN STREET"	SOUTHPORT	4215																																												
PRIVATE	SA	LIFT CANCER CARE SERVICES	0067230J	7/506-520 SOUTH ROAD	KURRALTA PARK	5037																																												
PUBLIC	NSW	LIGHTNING RIDGE MULTIPURPOSE HEALTH SERVICE	0012850L	LOT 25 PANDORA STREET	LIGHTNING RIDGE	2834																																												
PRIVATE	VIC	LINACRE PRIVATE HOSPITAL	0036410W	12 LINACRE ROAD	HAMPTON	3188																																												
PRIVATE	NSW	LINDFIELD RENAL CARE CENTRE 	0027070H	280 PACIFIC HIGHWAY	LINDFIELD	2070																																												
PRIVATE	NSW	LINGARD PRIVATE HOSPITAL	0016780A	23 MEREWETHER STREET	MEREWETHER	2291																																												
PRIVATE	WA	LIONS EYE INSTITUTE DAY SURGERY CENTRE	0926581A	2 VERDUN STREET	NEDLANDS	6009																																												
PUBLIC	NSW	LISMORE BASE HOSPITAL	0011590B	60 URALBA STREET	LISMORE	2480																																												
PUBLIC	NSW	LISMORE BASE HOSPITAL - RIVERLANDS DRUG & ALCOHOL SERVICE	0011590B	76 HUNTER STREET	LISMORE	2480																																												
PRIVATE	NSW	LITHGOW COMMUNITY PRIVATE HOSPITAL	0017210F	2 COL DREWE DRIVE	LITHGOW	2790																																												
PUBLIC	NSW	LITHGOW HOSPITAL	0011600W	CNR COL DREWE DRIVE AND GREAT WESTERN HIGHWAY	LITHGOW	2790																																												
PRIVATE	NSW	LIVERPOOL DAY SURGERY	0657411T	105-119 LONGSTAFF AVENUE	MOOREBANK	2170																																												
PRIVATE	NSW	LIVERPOOL EYE SURGERY	0027300J	"GROUND FLOOR, 1-7 MOORE STREET"	LIVERPOOL	2170																																												
PUBLIC	NSW	LIVERPOOL HOSPITAL	0010200X	LOT 2 ELIZABETH STREET	LIVERPOOL	2170																																												
PUBLIC	NSW	LOCKHART & DISTRICT HOSPITAL	0011610T	53-55 HEBDEN STREET	LOCKHART	2656																																												
PRIVATE	QLD	LOGAN ENDOSCOPY SERVICES	0057190W	UNIT 2/3276 BEAUDESERT ROAD	BROWNS PLAINS	4118																																												
PUBLIC	QLD	LOGAN HOSPITAL	0051740H	8 ARMSTRONG STREET	MEADOWBROOK	4131																																												
PUBLIC	NSW	LONG JETTY HEALTH CARE FACILITY	0012680T	68 WYONG ROAD	KILLARNEY VALE	2261																																												
PUBLIC	QLD	LONGREACH HOSPITAL	0050690J	JABIRU STREET	LONGREACH	4730																																												
PRIVATE	NSW	LONGUEVILLE PRIVATE HOSPITAL	0016830H	45-47 KENNETH STREET	LONGUEVILLE	2066																																												
PUBLIC	NSW	LOURDES HOSPITAL & COMMUNITY SERVICES	0012840T	80-110 COBBORA ROAD	DUBBO	2830																																												
PUBLIC	SA	LOXTON HOSPITAL COMPLEX	0060300A	41 DRABSCH STREET	LOXTON	5333																																												
PUBLIC	SA	LYELL MCEWIN HOSPITAL	0060680W	120-130 HAYDOWN ROAD	ELIZABETH VALE	5112																																												
PUBLIC	QLD	MACKAY BASE HOSPITAL	0050700A	475 BRIDGE ROAD	MACKAY	4740																																												
PRIVATE	QLD	MACKAY PRIVATE HOSPITAL	0056120W	57 NORRIS ROAD	MOUNT PLEASANT	4740																																												
PRIVATE	QLD	MACKAY SPECIALIST DAY HOSPITAL	0057120J	85-87 WILLETTS ROAD	NORTH MACKAY	4740																																												
PUBLIC	NSW	MACKSVILLE DISTRICT HOSPITAL	0011820F	100 DARRUYA ROAD	NORTH MACKSVILLE	2447																																												
PUBLIC	NSW	MACLEAN DISTRICT HOSPITAL	0011630K	21 UNION STREET	MACLEAN	2463																																												
PUBLIC	NSW	MACQUARIE HOSPITAL	0012910W	CNR WICKS RD & COXS RD	NORTH RYDE	2113																																												
PRIVATE	NSW	MACQUARIE ST DAY SURGERY	0027280X	"LEVEL 11, 187 MACQUARIE ST"	SYDNEY	2000																																												
PRIVATE	NSW	MACQUARIE UNIVERSITY HOSPITAL	0017360L	3 TECHNOLOGY PLACE	MACQUARIE PARK	2109																																												
PRIVATE	NSW	MADISON DAY SURGERY	0027150H	"SUITE 3, 25-29 HUNTER STREET"	HORNSBY	2077																																												
PUBLIC	NSW	MAITLAND HOSPITAL (NSW)	0011650H	51 METFORD ROAD	METFORD	2323																																												
PUBLIC	SA	MAITLAND HOSPITAL (SA)	0060310Y	65 ROBERT STREET	MAITLAND	5573																																												
PRIVATE	NSW	MAITLAND PRIVATE HOSPITAL	0017250X	173 CHISHOLM ROAD	EAST MAITLAND	2323																																												
PUBLIC	VIC	MALDON HOSPITAL	0034840K	CHAPEL STREET	MALDON	3463																																												
PUBLIC	QLD	MALENY HOSPITAL	0050710Y	17 BEAN STREET	MALENY	4552																																												
PUBLIC	VIC	MALLEE TRACK HEALTH AND COMMUNITY SERVICE	0030880L	28 BRITT STREET	OUYEN	3490																																												
PRIVATE	VIC	MALVERN DIALYSIS CLINIC	0043760B	1133 MALVERN ROAD	MALVERN	3144																																												
PRIVATE	VIC	MALVERN PRIVATE HOSPITAL	0035480K	3-9 WILTON VALE CRESCENT	MALVERN EAST	3145																																												
PUBLIC	NSW	MANILLA HEALTH SERVICE	0011670B	143 COURT STREET	MANILLA	2346																																												
PRIVATE	NSW	MANLY WATERS PRIVATE HOSPITAL	0016690B	17 COVE AVENUE	MANLY	2095																																												
PUBLIC	NSW	MANNING RURAL REFERRAL HOSPITAL (TAREE)	0011680A	26 YORK STREET	TAREE	2430																																												
PRIVATE	VIC	MANNINGHAM PRIVATE HOSPITAL	0043820H	"SUITE 304, LEVEL 3, 200 HIGH STREET"	TEMPLESTOWE LOWER	3107																																												
PUBLIC	SA	MANNUM DISTRICT HOSPITAL	0060320X	PARKER STREET	MANNUM	5238																																												
PUBLIC	VIC	MANSFIELD DISTRICT HOSPITAL	0030670A	53 HIGHETT STREET	MANSFIELD	3722																																												
PUBLIC	QLD	MAREEBA HOSPITAL	0050730W	21 LLOYD STREET	MAREEBA	4880																																												
PUBLIC	WA	MARGARET RIVER HOSPITAL	0070490H	FARRELLY STREET	MARGARET RIVER	6285																																												
PUBLIC	VIC	MAROONDAH HOSPITAL	0031650X	1-15 MT DANDENONG ROAD	RINGWOOD EAST	3135																																												
PRIVATE	NSW	MARSDEN EYE SURGERY CENTRE	0838221B	152 MARSDEN STREET	PARRAMATTA	2150																																												
PUBLIC	VIC	MARYBOROUGH DISTRICT HEALTH SERVICE (DUNOLLY)	0030370L	20 HAVELOCK STREET	DUNOLLY	3472																																												
PUBLIC	VIC	MARYBOROUGH DISTRICT HEALTH SERVICE (MARYBOROUGH)	0030680Y	75-87 CLARENDON STREET	MARYBOROUGH	3465																																												
PUBLIC	QLD	MARYBOROUGH HOSPITAL	0050740T	185 WALKER STREET	MARYBOROUGH	4650																																												
PRIVATE	VIC	MARYVALE PRIVATE HOSPITAL	0036630F	286 MARYVALE ROAD	MORWELL	3840																																												
PRIVATE	VIC	MASADA PRIVATE HOSPITAL	0036390F	26 BALACLAVA ROAD	EAST ST KILDA	3183																																												
PUBLIC	QLD	MATER ADULT HOSPITAL	0050750L	RAYMOND TERRACE	SOUTH BRISBANE	4101																																												
PRIVATE	NSW	MATER HOSPITAL SYDNEY	0015790H	25 ROCKLANDS ROAD	NORTH SYDNEY	2060																																												
PUBLIC	QLD	MATER MOTHER'S HOSPITAL	0050790F	RAYMOND TERRACE	SOUTH BRISBANE	4101																																												
PRIVATE	QLD	MATER PRIVATE DAY HOSPITAL BROOKWATER	0057490F	CNR OF AUGUSTA PARKWAY & TOURNAMENT DRIVE	BROOKWATER	4300																																												
PRIVATE	QLD	MATER PRIVATE HOSPITAL (SOUTH BRISBANE)	0055850L	301 VULTURE ST	SOUTH BRISBANE	4101																																												
PRIVATE	QLD	MATER PRIVATE HOSPITAL BUNDABERG	0055330T	313 BOURBONG STREET	BUNDABERG	4670																																												
PRIVATE	QLD	MATER PRIVATE HOSPITAL MACKAY	0055340L	76 WILLETTS ROAD	NORTH MACKAY	4740																																												
PRIVATE	QLD	MATER PRIVATE HOSPITAL MACKAY (WELLINGTON STREET CAMPUS)	0881091W	1 WELLINGTON STREET	MACKAY	4740																																												
PRIVATE	QLD	MATER PRIVATE HOSPITAL REDLAND	0055970F	WEIPPIN STREET	CLEVELAND	4163																																												
PRIVATE	QLD	MATER PRIVATE HOSPITAL ROCKHAMPTON	0055350K	CNR WARD & JESSIE STREETS	ROCKHAMPTON	4700																																												
PRIVATE	QLD	MATER PRIVATE HOSPITAL SPRINGFIELD	0056160J	30 HEALTH CARE DRIVE	SPRINGFIELD CENTRAL	4300																																												
PRIVATE	QLD	MATER PRIVATE HOSPITAL TOWNSVILLE	0055360J	25 FULHAM ROAD	PIMLICO	4810																																												
PRIVATE	QLD	MATER PRIVATE HOSPITAL TOWNSVILLE (HYDE PARK CAMPUS)	0055400W	12-14 OXFORD STREET	HYDE PARK	4812																																												
PRIVATE	QLD	MATER WOMEN'S & CHILDREN'S PRIVATE HEALTH SERVICES	0055110F	RAYMOND TERRACE	SOUTH BRISBANE	4101																																												
PRIVATE	NSW	MATILDA NEPEAN PRIVATE HOSPITAL	0017680X	39 ORTH STREET	KINGSWOOD	2747																																												
PUBLIC	TAS	MAY SHAW HEALTH CENTRE	0085190H	37 WELLINGTON STREET	SWANSEA	7190																																												
PRIVATE	NSW	MAYO PRIVATE HOSPITAL	0015810X	LOT 1 POTOROO DRIVE	TAREE	2430																																												
PRIVATE	WA	MCCOURT STREET DAY SURGERY	0077000H	28 MCCOURT STREET	WEST LEEDERVILLE	6007																																												
PUBLIC	WA	MEEKATHARRA HOSPITAL	0070500Y	SAVAGE STREET	MEEKATHARRA	6642																																												
PRIVATE	VIC	MELBOURNE DAY SURGERY CENTRE	0930981W	"LEVEL 1, 961 GLENHUNTLY ROAD"	CAULFIELD SOUTH	3162																																												
PRIVATE	VIC	MELBOURNE ENDOSCOPY MONASH DAY PROCEDURE CENTRE	0656392Y	277 CLAYTON ROAD	CLAYTON	3168																																												
PRIVATE	VIC	MELBOURNE PRIVATE HOSPITAL	0036700H	ROYAL PARADE	PARKVILLE	3052																																												
PRIVATE	SA	MEMORIAL HOSPITAL	0065240A	SIR EDWIN SMITH AVENUE	NORTH ADELAIDE	5006																																												
PUBLIC	SA	MENINGIE HOSPITAL	0060660Y	2 SOUTH TERRACE	MENINGIE	5264																																												
PUBLIC	NSW	MERCY CARE HOSPITAL - YOUNG	0011710K	69 DEMONDRILLE STREET	YOUNG	2594																																												
PUBLIC	VIC	MERCY HEALTH - O'CONNELL FAMILY CENTRE CAMPUS	0031550A	6 MONT ALBERT ROAD	CANTERBURY	3126																																												
PUBLIC	NSW	MERCY HEALTH SERVICE	0011690Y	550 POOLE STREET	ALBURY	2640																																												
PUBLIC	VIC	MERCY HOSPITAL FOR WOMEN	0031610F	163 STUDLEY ROAD	HEIDELBERG	3084																																												
PUBLIC	WA	MERREDIN HOSPITAL	0070510X	KITCHENER ROAD	MERREDIN	6415																																												
PUBLIC	NSW	MERRIWA MULTI PURPOSE SERVICE	0011720J	60 MACKENZIE STREET	MERRIWA	2329																																												
PUBLIC	TAS	MERSEY COMMUNITY HOSPITAL	0085170K	BASS HIGHWAY	LATROBE	7307																																												
PRIVATE	NSW	METWEST SURGICAL	0656411A	17 HEREWARD HIGHWAY	BLACKTOWN	2148																																												
PRIVATE	QLD	MIAMI PRIVATE HOSPITAL	0057440T	24 HILLCREST PARADE	MIAMI	4220																																												
PUBLIC	TAS	MIDLANDS MULTI PURPOSE HEALTH CENTRE	0085180J	13 CHURCH STREET	OATLANDS	7120																																												
PUBLIC	VIC	MILDURA BASE PUBLIC HOSPITAL	0036820Y	220-228 THIRTEENTH STREET	MILDURA	3500																																												
PRIVATE	VIC	MILDURA HEALTH PRIVATE HOSPITAL	0036600K	220-228 THIRTEENTH STREET	MILDURA	3500																																												
PUBLIC	QLD	MILES HOSPITAL	0050870F	5-11 COLAMBA STREET	MILES	4415																																												
PUBLIC	SA	MILLICENT AND DISTRICT HOSPITAL AND HEALTH SERVICES	0060340T	33 MT GAMBIER ROAD	MILLICENT	5280																																												
PUBLIC	QLD	MILLMERRAN HOSPITAL	0050880B	50 COMMENS STREET	MILLMERRAN	4357																																												
PUBLIC	NSW	MILTON ULLADULLA HOSPITAL	0011740F	104-106 PRINCES HIGHWAY	MILTON	2538																																												
PRIVATE	NSW	MINCHINBURY COMMUNITY PRIVATE HOSPITAL	0017000T	120 RUPERTSWOOD ROAD	MOUNT DRUITT	2040																																												
PRIVATE	QLD	MINIMALLY INVASIVE SURGERY CENTRE	0056270B	"LEVEL 4, 1 LAWSON STREET"	SOUTHPORT	4215																																												
PRIVATE	NSW	MIRANDA DAY SURGERY	0027290W	25/20-24 GIBBS ST	MIRANDA	2228																																												
PRIVATE	NSW	MIRANDA EYE SURGICAL CENTRE	0990491F	"SUITE 4, 16-22 WILLOCK AVENUE"	MIRANDA	2228																																												
PRIVATE	VIC	MITCHAM PRIVATE HOSPITAL	0036090W	27 AND 36 DONCASTER EAST ROAD	MITCHAM	3132																																												
PUBLIC	QLD	MITCHELL HOSPITAL	0050890A	95 ANN STREET	MITCHELL	4465																																												
PUBLIC	SA	MODBURY HOSPITAL	0060690T	41-69 SMART ROAD	MODBURY	5092																																												
PRIVATE	NSW	MOGO DAY SURGERY	0017420W	2-4 CHARLES STREET	MOGO	2536																																												
PUBLIC	NSW	MOLONG HEALTH SERVICE	0011750B	KING STREET	MOLONG	2866																																												
PUBLIC	NSW	MONA VALE HOSPITAL	0012470B	81 CORONATION STREET	MONA VALE	2103																																												
PUBLIC	VIC	MONASH HEALTH COMMUNITY	0032150J	122 THOMAS STREET	DANDENONG	3175																																												
PUBLIC	VIC	MONASH HEALTH WOMEN'S SANDRINGHAM	0032210L	193 BLUFF ROAD	SANDRINGHAM	3191																																												
PRIVATE	VIC	MONASH HEART PRIVATE OPERATED BY JESSIE MCPHERSON PRIVATE HOSPITAL	0037100A	631 BLACKBURN ROAD	CLAYTON	3168																																												
PRIVATE	VIC	MONASH HOUSE PRIVATE HOSPITAL	0036960J	"LEVEL 1, 271 CLAYTON ROAD"	CLAYTON	3168																																												
PRIVATE	NSW	MONASH IVF SYDNEY CBD	0027600X	"LEVEL 10, 207 KENT STREET"	SYDNEY	2000																																												
PUBLIC	VIC	MONASH MEDICAL CENTRE - CLAYTON CAMPUS	0030970K	246 CLAYTON ROAD	CLAYTON	3168																																												
PUBLIC	VIC	MONASH MEDICAL CENTRE - MOORABBIN CAMPUS	0030970K	823-865 CENTRE ROAD	BENTLEIGH EAST	3165																																												
PRIVATE	VIC	MONASH SURGICAL PRIVATE HOSPITAL	0036670X	252-256 CLAYTON ROAD	CLAYTON	3168																																												
PUBLIC	QLD	MONTO HOSPITAL	0050900T	35 FLINDERS STREET	MONTO	4630																																												
PUBLIC	WA	MOORA HOSPITAL	0070540L	DANDARAGAN ROAD	MOORA	6510																																												
PUBLIC	QLD	MORANBAH HOSPITAL	0051580H	CNR ELLIOTT STREET AND MILLS AVENUE	MORANBAH	4744																																												
PUBLIC	WA	MORAWA HOSPITAL	0070560J	CAULFIELD ROAD	MORAWA	6623																																												
PUBLIC	NSW	MOREE DISTRICT HOSPITAL	0011760A	35 ALICE STREET	MOREE	2400																																												
PRIVATE	QLD	MORETON DAY HOSPITAL	0057000W	"SPECIALIST MEDICAL CENTRE, LEVEL 2, SUITE 201, 6 NORTH LAKES DRIVE"	NORTH LAKES	4509																																												
PRIVATE	VIC	MORNINGTON ENDOSCOPY	0044060A	350 MAIN STREET	MORNINGTON	3931																																												
PUBLIC	QLD	MORNINGTON ISLAND HOSPITAL	0051620T	306 LARDYL STREET	MORNINGTON ISLAND	4871																																												
PUBLIC	NSW	MORUYA DISTRICT HOSPITAL	0011780X	2-10 RIVER STREET	MORUYA	2537																																												
PUBLIC	QLD	MOSSMAN HOSPITAL (DOUGLAS SHIRE MULTI PURPOSE HEALTH SERVICE)	0050910L	9 HOSPITAL STREET	MOSSMAN	4873																																												
PUBLIC	SA	MOUNT BARKER DISTRICT SOLDIERS MEMORIAL HOSPITAL	0060360K	87 WELLINGTON ROAD	MOUNT BARKER	5251																																												
PUBLIC	NSW	MOUNT DRUITT HOSPITAL	0012780K	63 RAILWAY STREET	MOUNT DRUITT	2770																																												
PUBLIC	VIC	MOUNT ELIZA CENTRE	0031700B	33 JACKSONS ROAD	MOUNT ELIZA	3930																																												
PUBLIC	SA	MOUNT GAMBIER AND DISTRICTS HEALTH SERVICE	0060370J	276-300 WEHL STREET NORTH	MOUNT GAMBIER	5290																																												
PRIVATE	WA	MOUNT HOSPITAL	0075420B	150 MOUNTS BAY ROAD	PERTH	6000																																												
PUBLIC	QLD	MOUNT ISA  HOSPITAL	0050930J	30 CAMOOWEAL STREET	MOUNT ISA	4825																																												
PUBLIC	QLD	MOUNT MORGAN HOSPITAL	0050950F	BLACK STREET	MOUNT MORGAN	4714																																												
PUBLIC	SA	MOUNT PLEASANT HOSPITAL	0060380H	28 HOSPITAL ROAD	MOUNT PLEASANT	5235																																												
PUBLIC	QLD	MOURA HOSPITAL	0051560K	14 NOTT STREET	MOURA	4718																																												
PUBLIC	VIC	MOYNE HEALTH SERVICES	0030900B	30-36 VILLIERS STREET	PORT FAIRY	3284																																												
PRIVATE	QLD	MSI BRISBANE	0057170Y	8 CAMPBELL STREET	BOWEN HILLS	4006																																												
PRIVATE	ACT	MSI CANBERRA	0097020T	"LEVEL 1 ACT HEALTH BUILDING, MOORE & ALINGA STREETS"	CANBERRA CITY	2601																																												
PRIVATE	VIC	MSI MELBOURNE	0043490J	26B DICKENS STREET	ELWOOD	3184																																												
PRIVATE	WA	MSI PERTH	0077050X	8 SAYER STREET	MIDLAND	6056																																												
PRIVATE	NSW	MSI SYDNEY WEST	0657961H	27 RAILWAY PARADE	WESTMEAD	2145																																												
PRIVATE	NSW	MT WILGA PRIVATE HOSPITAL	0015020F	66 ROSAMOND STREET	HORNSBY	2077																																												
PUBLIC	NSW	MUDGEE HEALTH SERVICE	0011790W	MEARES STREET	MUDGEE	2850																																												
PRIVATE	ACT	MUGGA WARA ENDOSCOPY CENTRE	0657101H	1/70 KENT STREET	DEAKIN	2600																																												
PRIVATE	VIC	MULGRAVE PRIVATE HOSPITAL	0036580Y	BLANTON DRIVE	MULGRAVE	3170																																												
PUBLIC	WA	MULLEWA HOSPITAL	0070570H	ELDER STREET	MULLEWA	6630																																												
PUBLIC	QLD	MUNDUBBERA MULTIPURPOSE HEALTH SERVICE 	0050980Y	96 LEICHHARDT STREET	MUNDUBBERA	4626																																												
PUBLIC	QLD	MUNGINDI HOSPITAL	0050990X	80 -84 BARWON STREET	MUNGINDI	2406																																												
PRIVATE	WA	MURDOCH SURGICENTRE	0077020B	100 MURDOCH DRIVE	MURDOCH	6150																																												
PUBLIC	QLD	MURGON HOSPITAL	0051000Y	CORONATION DRIVE	MURGON	4605																																												
PUBLIC	SA	MURRAY BRIDGE SOLDIERS MEMORIAL HOSPITAL	0060390F	CNR SWANPORT ROAD & MONASH TERRACE	MURRAY BRIDGE	5253																																												
PUBLIC	WA	MURRAY DISTRICT HOSPITAL	0070670B	MCKAY STREET	PINJARRA	6208																																												
PRIVATE	VIC	MURRAY VALLEY PRIVATE HOSPITAL	0036780L	NORDSVAN DRIVE	WODONGA	3690																																												
PUBLIC	NSW	MURRUMBAH-HARDEN HOSPITAL	0011810H	54 SWIFT STREET	HARDEN	2587																																												
PUBLIC	NSW	MURWILLUMBAH DISTRICT HOSPITAL	0012210A	8 EWING STREET	MURWILLUMBAH	2484																																												
PUBLIC	NSW	MUSWELLBROOK HOSPITAL	0010800W	36 BRENTWOOD STREET	MUSWELLBROOK	2333																																												
PRIVATE	QLD	NAMBOUR DAY SURGERY	0057250Y	115 HOWARD STREET	NAMBOUR	4560																																												
PUBLIC	QLD	NAMBOUR GENERAL HOSPITAL	0051020W	HOSPITAL ROAD	NAMBOUR	4560																																												
PRIVATE	QLD	NAMBOUR SELANGOR PRIVATE HOSPITAL	0055470B	62 NETHERTON STREET	NAMBOUR	4560																																												
PUBLIC	QLD	NANANGO HOSPITAL	0051030T	135 BRISBANE STREET	NANANGO	4615																																												
PUBLIC	WA	NANNUP HOSPITAL	0070630K	CAREY STREET	NANNUP	6275																																												
PUBLIC	SA	NARACOORTE HEALTH SERVICE	0060400X	101 JENKINS TERRACE	NARACOORTE	5271																																												
PUBLIC	WA	NAREMBEEN HOSPITAL	0070590B	ADA STREET	NAREMBEEN	6369																																												
PUBLIC	NSW	NARRABRI DISTRICT HOSPITAL	0011830B	11 CAMERON STREET	NARRABRI	2390																																												
PUBLIC	NSW	NARRANDERA HOSPITAL	0011840A	54 ADAMS STREET	NARRANDERA	2700																																												
PUBLIC	WA	NARROGIN HOSPITAL	0070600W	WILLIAMS ROAD	NARROGIN	6312																																												
PUBLIC	NSW	NARROMINE HOSPITAL & COMMUNITY HEALTH	0011850Y	128 CATHUNDRAL STREET	NARROMINE	2821																																												
PUBLIC	VIC	NATHALIA DISTRICT HOSPITAL	0030800H	36-44 MCDONNELL STREET	NATHALIA	3638																																												
PRIVATE	ACT	NATIONAL CAPITAL PRIVATE HOSPITAL	0095100J	GILMORE CRESCENT & HOSPITAL ROAD	GARRAN	2605																																												
PRIVATE	VIC	NEERIM HEALTH	0035660H	29-39 MAIN NEERIM ROAD	NEERIM SOUTH	3831																																												
PUBLIC	NSW	NEPEAN HOSPITAL	0011860X	DERBY STREET	KINGSWOOD	2747																																												
PRIVATE	NSW	NEPEAN PRIVATE HOSPITAL	0016580J	BARBER AVENUE	KINGSWOOD	2747																																												
PRIVATE	WA	NEPHROCARE MIDLAND DIALYSIS CLINIC	0077260J	11 THE AVENUE 	MIDLAND	6056																																												
PRIVATE	NSW	NEPHROCARE NEWCASTLE DIALYSIS CLINIC	0017380J	"SUITE 402, LEVEL 4, 670 HUNTER STREET"	NEWCASTLE	2300																																												
PUBLIC	NSW	NERINGAH HOSPITAL	0010130W	4-12 NERINGAH AVENUE SOUTH	WAHROONGA	2076																																												
PRIVATE	VIC	NEW AGE DENTAL	0044190L	"SUITE 5 TO 7, LEVEL 1/20 SCHOLAR DRIVE"	BUNDOORA	3083																																												
PUBLIC	TAS	NEW NORFOLK DISTRICT HOSPITAL	0080160J	3 RICHMOND STREET	NEW NORFOLK	7140																																												
PRIVATE	NSW	NEWCASTLE ENDOSCOPY CENTRE	0027360X	"SUITE 15, 20-22 SMITH STREET"	CHARLESTOWN	2290																																												
PRIVATE	NSW	NEWCASTLE EYE HOSPITAL	0874031Y	182 CHRISTO ROAD	WARATAH	2298																																												
PRIVATE	NSW	NEWCASTLE PRIVATE HOSPITAL	0017050F	14 LOOKOUT ROAD	NEW LAMBTON HEIGHTS	2305																																												
PUBLIC	WA	NEWMAN HOSPITAL	0071180L	54 MINDARRA DRIVE	NEWMAN	6753																																												
PRIVATE	WA	NGALA FAMILY SERVICES	0075140K	9 GEORGE STREET	KENSINGTON	6151																																												
PUBLIC	NSW	NIMBIN MULTI PURPOSE SERVICE	0011890L	35 CULLEN STREET	NIMBIN	2480																																												
PUBLIC	SA	NOARLUNGA HEALTH SERVICE	0060850T	ALEXANDER KELLY DRIVE	NOARLUNGA CENTRE	5168																																												
PRIVATE	VIC	NOBLE PARK ENDOSCOPY CENTRE	0893841H	1304 HEATHERTON ROAD	NOBLE PARK	3174																																												
PRIVATE	QLD	NOOSA HOSPITAL	0055930L	111 GOODCHAP STREET	NOOSAVILLE	4566																																												
PRIVATE	QLD	NOOSA SURGICAL & ENDOSCOPY CENTRE	0057100L	22 MARY STREET	NOOSAVILLE	4566																																												
PUBLIC	QLD	NORMANTON HOSPITAL	0051040L	LOT 199 BROWN STREET	NORMANTON	4890																																												
PUBLIC	WA	NORSEMAN HOSPITAL	0070610T	TALBOT STREET	NORSEMAN	6443																																												
PRIVATE	SA	NORTH ADELAIDE DAY SURGERY CENTRE	0873741Y	174 WARD STREET	NORTH ADELAIDE	5006																																												
PUBLIC	ACT	NORTH CANBERRA HOSPITAL	0090040A	HAYDON DRIVE	BRUCE	2617																																												
PRIVATE	SA	NORTH EASTERN COMMUNITY HOSPITAL	0065770X	580 LOWER NORTH EAST ROAD	CAMPBELLTOWN	5074																																												
PRIVATE	VIC	NORTH EASTERN REHABILITATION CENTRE	0035050K	134-144 FORD STREET	IVANHOE	3079																																												
PUBLIC	TAS	NORTH EASTERN SOLDIERS MEMORIAL HOSPITAL	0080190B	CAMERON STREET	SCOTTSDALE	7260																																												
PRIVATE	QLD	NORTH LAKES DAY HOSPITAL	0057380K	7 ENDEAVOUR BOULEVARD	NORTH LAKES	4509																																												
PRIVATE	VIC	NORTH MELBOURNE RENAL CARE CENTRE	0036880J	"LEVEL 1, 185 - 187 BOUNDARY ROAD"	NORTH MELBOURNE	3051																																												
PUBLIC	WA	NORTH MIDLANDS HOSPITAL	0070730H	THOMAS STREET	THREE SPRINGS	6519																																												
PRIVATE	QLD	NORTH QUEENSLAND DAY SURGICAL CENTRE	0999721A	119 KINGS ROAD	PIMLICO	4812																																												
PRIVATE	NSW	NORTH SHORE PRIVATE HOSPITAL	0017200H	WESTBOURNE STREET	ST LEONARDS	2065																																												
PRIVATE	NSW	NORTH SHORE SPECIALIST DAY HOSPITAL	0027230H	"LEVEL 3, 176 PACIFIC HIGHWAY"	GREENWICH	2065																																												
PRIVATE	TAS	NORTH TAS DAY HOSPITAL	0085240L	23-27 CANNING STREET	LAUNCESTON	7250																																												
PRIVATE	VIC	NORTH WEST DAY HOSPITAL	0894521T	221 MARIBYRNONG ROAD	ASCOT VALE	3032																																												
PRIVATE	QLD	NORTH WEST PRIVATE HOSPITAL (QLD)	0055800A	137 FLOCKTON STREET	EVERTON PARK	4053																																												
PRIVATE	TAS	NORTH WEST PRIVATE HOSPITAL (TAS)	0085000H	21 BRICKPORT ROAD	BURNIE	7320																																												
PUBLIC	TAS	NORTH WEST REGIONAL HOSPITAL	0080400J	23 BRICKPORT ROAD	BURNIE	7320																																												
PUBLIC	WA	NORTHAM HOSPITAL	0071190K	ROBINSON STREET	NORTHAM	6401																																												
PUBLIC	WA	NORTHAMPTON HOSPITAL	0070640J	STEPHEN STREET	NORTHAMPTON	6535																																												
PUBLIC	VIC	NORTHEAST HEALTH WANGARATTA	0031250L	35-47 GREEN STREET	WANGARATTA	3677																																												
PRIVATE	NSW	NORTHERN BEACHES HOSPITAL	0017590Y	105 FRENCHS FOREST ROAD	FRENCHS FOREST	2086																																												
PRIVATE	SA	NORTHERN ENDOSCOPY CENTRE	0834441A	127 FROST ROAD	SALISBURY SOUTH	5106																																												
PRIVATE	VIC	NORTHERN PRIVATE HOSPITAL	0037120X	12 OSBURN PLACE	EPPING	3076																																												
PRIVATE	VIC	NORTHPARK PRIVATE HOSPITAL	0036530J	CNR PLENTY AND GREENHILLS ROAD	BUNDOORA	3083																																												
PRIVATE	NSW	NORWEST PRIVATE HOSPITAL	0016870Y	"11  NORBRIK DRIVE, NORWEST BUSINESS PARK"	BELLA VISTA	2153																																												
PRIVATE	SA	NORWOOD DAY SURGERY	0067280Y	42 NELSON STREET	STEPNEY	5069																																												
PRIVATE	VIC	NOTTING HILL CITY HEALTH DAY HOSPITAL	0044270L	33-37 DUERDIN STREET	NOTTING HILL	3168																																												
PRIVATE	NSW	NOWRA PRIVATE HOSPITAL	0016970W	WEEROONA PLACE	NOWRA	2541																																												
PRIVATE	NT	NT MEDICAL SPECIALIST	0096000F	21 VANDERLIN DRIVE	WANGURI	0810																																												
